id,cases
1,27
2,27
3,27
4,44
5,44
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,60
15,60
16,61
17,61
18,66
19,83
20,219
21,239
22,392
23,534
24,631
25,897
26,1350
27,2023
28,2820
29,4587
30,6067
31,7823
32,9824
33,11946
34,14554
35,17372
36,20615
37,24523
38,28274
39,31492
40,34934
41,37552
42,40544
43,43106
44,45178
45,60329
46,64544
47,67104
48,69266
49,71333
50,73328
51,75192
52,75724
53,76720
54,77805
55,78814
56,79337
57,80130
58,80997
59,82111
60,83377
61,85236
62,87062
63,89149
64,91006
65,93318
66,95672
67,98730
68,102850
69,106827
70,111004
71,115820
72,120927
73,128825
74,138276
75,148680
76,160845
77,173300
78,187501
79,204507
80,224721
81,255815
82,287724
83,321931
84,356288
85,400703
86,443089
87,496839
88,557855
89,622950
90,685764
91,743127
92,807615
93,882289
94,959762
95,1037220
96,1119050
97,1204293
98,1270569
99,1343557
100,1420824
101,1505744
102,1593008
103,1682520
104,1757834
105,1826362
106,1891082
107,1967578
108,2045926
109,2129867
110,2211646
111,2291209
112,2361771
113,2435506
114,2522171
115,2588515
116,2667000
117,2739792
118,2839574
119,2921251
120,2987071
121,3059325
122,3138127
123,3223460
124,3312127
125,3392755
126,3469920
127,3546456
128,3625139
129,3712696
130,3805120
131,3894331
132,3983174
133,4057868
134,4127602
135,4213815
136,4300072
137,4396615
138,4493834
139,4586769
140,4666272
141,4752639
142,4848183
143,4951510
144,5059290
145,5165090
146,5265117
147,5358272
148,5447115
149,5540896
150,5643715
151,5762221
152,5884290
153,6012228
154,6118944
155,6219238
156,6331625
157,6457137
158,6584061
159,6717251
160,6843248
161,6958077
162,7063698
163,7188935
164,7323789
165,7459944
166,7604570
167,7737982
168,7859178
169,7977673
170,8119149
171,8296013
172,8434463
173,8614774
174,8775091
175,8904289
176,9038528
177,9202420
178,9377414
179,9556155
180,9744827
181,9926855
182,10087058
183,10245216
184,10437301
185,10637677
186,10846302
187,11051826
188,11242890
189,11421169
190,11595448
191,11802390
192,12017896
193,12243043
194,12474504
195,12692498
196,12887997
197,13076443
198,13300136
199,13531835
200,13786213
201,14040640
202,14270806
203,14480247
204,14681011
205,14920796
206,15202429
207,15478720
208,15762631
209,16022259
210,16254117
211,16466024
212,16709826
213,17007937
214,17298368
215,17577430
216,17845287
217,18068579
218,18273236
219,18528908
220,18806512
221,19092437
222,19368340
223,19637058
224,19866472
225,20086238
226,20347705
227,20637053
228,20923723
229,21212641
230,21472274
231,21704635
232,21901181
233,22156205
234,22437723
235,22714041
236,22967272
237,23234002
238,23458350
239,23669808
240,23924881
241,24201556
242,24484966
243,24761565
244,25030576
245,25275800
246,25518306
247,25786856
248,26069996
249,26348850
250,26642307
251,26922032
252,27170665
253,27377046
254,27621693
255,27904423
256,28214710
257,28520036
258,28807131
259,29079725
260,29322588
261,29626570
262,29917712
263,30231370
264,30540446
